Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020
Solis Holdings Ltd,56901253,198247,Hong Kong,Singapore,10011,Industrial,0.785386379193099,1.0619206183546648,1.5859439552866887,2.3793402014883815,1.5134315754311638,0.882596479867871,0.5144445951989761,0.3746209745999302,0.2981183601222907,0.23897683918429896,0.2420955694908897,0.257910549566945,0.2749071893033397
ZACD Group Ltd,58131163,198660,Hong Kong,Singapore,10008,Financial,0.0005553665784140122,0.0002477608802398963,8.04032807763122e-5,1.6124298597863347e-5,1.234096722455508e-6,3.6221013973115063e-8,2.967587169764328e-10,3.32787165021011e-11,3.303944346070553e-11,3.2955624657425724e-11,3.365847439225114e-11,3.4275303979802266e-11,3.48200173893208e-11
Pentamaster International Ltd,58115563,198699,Hong Kong,Malaysia,10011,Industrial,0.48026919494052206,0.7929426483581705,1.3735773767030979,2.2727218231530335,1.6271546715144616,1.017465785736687,0.6491679890422282,0.4982840801902113,0.4127312350065852,0.3578071794990236,0.37201714661230373,0.4039258438460673,0.4544477957642467
Xinghua Port Holdings Ltd,53623030,198825,Hong Kong,Singapore,10005,Consumer Non-Cyclical,12.387550156512322,19.783707899621998,32.58412196212958,49.393597435778844,36.49192560040483,25.072667104447,17.688105224870487,13.368246847234325,10.065394882868782,7.723032464761883,7.492503841172248,7.742112117674321,8.141319514719259
Sunlight 1977 Holdings Ltd,59820687,199224,Hong Kong,Singapore,10005,Consumer Non-Cyclical,9.79935951222764,11.432494666530626,16.390599090751817,23.14779224317857,16.60916856584267,11.081683840421247,7.898823320032718,5.9340361579903504,4.476114551789429,3.470041592395038,3.367274835378937,3.461233175314661,3.647758647586161
HKE Holdings Ltd,59835496,199235,Hong Kong,Singapore,10011,Industrial,0.6350664291959549,1.1093398633533804,1.9386695236069216,3.316779466409467,2.258720007092649,1.4046844885324379,0.8194176219375201,0.6241741803561849,0.4998602802690789,0.42030760838575665,0.4315436341694686,0.481437049493415,0.5285562364536702
JLogo Holdings Ltd,60138902,199352,Hong Kong,Singapore,10004,Consumer Cyclical,28.74613173470765,51.3699978874314,95.2781743429334,162.5113730651303,123.58778808921788,82.98552956982607,55.81579148912803,40.95027877082253,32.903365574118396,27.157742297758855,27.484704039864642,28.223059681240173,29.466819404047722
HPC Holdings Ltd,60216420,199371,Hong Kong,Singapore,10011,Industrial,40.531801175060494,56.81201222600734,91.18118845789101,135.1660790513615,87.68472203444138,48.27939768296787,27.396115855730663,19.05849071115206,14.58250541330881,11.963242790383212,12.193328558229117,13.28973879416491,14.48539578406863
Kingsley Edugroup Ltd,59702353,199430,Hong Kong,Malaysia,10005,Consumer Non-Cyclical,15.047778742992302,21.33619763266052,31.30089579210516,42.27034075197521,29.294653162827924,18.656887012207733,12.236157748729282,8.57003498751358,5.986487158962525,4.448655789761871,4.090772154636648,4.0553043988807875,4.0755791715642795
Republic Healthcare Ltd,60587304,199584,Hong Kong,Singapore,10005,Consumer Non-Cyclical,1.236183757426233,1.4924056912855335,2.1803852847675267,2.9702229367395274,2.1391021090789355,1.435885795517077,1.0251679868650052,0.804117937816967,0.6232403058103091,0.48234657923696106,0.4552715876729384,0.46508947977911835,0.4879249957212169
